ID,住所,住所（丁目）,住所（番地等）,原因（特定できた場合のみ記載）,被害,発生年月日,branch1,branch2,address,x,y,year
37,あかね町,,10付近,,道路冠水,1999年7月13日,10,,千葉県柏市あかね町10 ,139.97495,35.8512,1999
38,あかね町,,26付近,,道路冠水,1996年7月3日,26,,千葉県柏市あかね町26 ,139.97972,35.84974,1996
39,あかね町,,26付近,大雨,道路冠水,2000年7月2日,26,,千葉県柏市あかね町26 ,139.97972,35.84974,2000
40,あかね町,,26付近,大雨,床下浸水,2002年9月12日,26,,千葉県柏市あかね町26 ,139.97972,35.84974,2002
41,あかね町,,26付近,集中豪雨,床下浸水,2007年6月10日,26,,千葉県柏市あかね町26 ,139.97972,35.84974,2007
42,明原,1,1付近,大雨,床上浸水,2020年8月23日,1,,千葉県柏市明原1-1 ,139.96698,35.86345,2020
43,明原,1,8付近,大雨,店舗浸水,2020年8月23日,8,,千葉県柏市明原1-8 ,139.96654,35.86259,2020
44,明原,1,8付近,大雨,店舗浸水,2020年8月23日,8,,千葉県柏市明原1-8 ,139.96654,35.86259,2020
45,明原,1,9付近,大雨,店舗浸水,2020年8月23日,9,,千葉県柏市明原1-9 ,139.96574,35.86267,2020
46,明原,1,9付近,大雨,床上浸水,2020年8月23日,9,,千葉県柏市明原1-9 ,139.96574,35.86267,2020
47,明原,1,9付近,大雨,床下浸水,2020年8月23日,9,,千葉県柏市明原1-9 ,139.96574,35.86267,2020
48,明原,1,9付近,大雨,床下浸水,2020年8月23日,9,,千葉県柏市明原1-9 ,139.96574,35.86267,2020
49,明原,1,11付近,大雨,店舗浸水,2020年8月23日,11,,千葉県柏市明原1-11 ,139.96486,35.863,2020
50,明原,1,11付近,大雨,店舗浸水,2020年8月23日,11,,千葉県柏市明原1-11 ,139.96486,35.863,2020
51,明原,1,11付近,大雨,店舗浸水,2020年8月23日,11,,千葉県柏市明原1-11 ,139.96486,35.863,2020
52,明原,1,11付近,大雨,店舗浸水,2020年8月23日,11,,千葉県柏市明原1-11 ,139.96486,35.863,2020
53,明原,1,11付近,大雨,床上浸水,2020年8月23日,11,,千葉県柏市明原1-11 ,139.96486,35.863,2020
54,明原,1,11付近,大雨,床下浸水,2020年8月23日,11,,千葉県柏市明原1-11 ,139.96486,35.863,2020
55,明原,1,11付近,大雨,床下浸水,2020年8月23日,11,,千葉県柏市明原1-11 ,139.96486,35.863,2020
56,明原,2,8付近,大雨,床上浸水,2006年7月14日,8,,千葉県柏市明原2-8 ,139.96686,35.86628,2006
57,明原,2,8付近,集中豪雨,道路冠水,2008年8月28日,8,,千葉県柏市明原2-8 ,139.96686,35.86628,2008
58,明原,3,20付近,大雨,道路冠水,2000年7月2日,20,,千葉県柏市明原3-20 ,139.96158,35.86852,2000
59,あけぼの,3,8付近,集中豪雨,道路冠水,2021年8月23日,8,,千葉県柏市あけぼの3-8 ,139.96992,35.87035,2021
60,旭町,1,1付近,大雨,店舗浸水,2020年8月23日,1,,千葉県柏市旭町1-1 ,139.96906,35.86295,2020
61,旭町,1,1付近,大雨,店舗浸水,2020年8月23日,1,,千葉県柏市旭町1-1 ,139.96906,35.86295,2020
62,旭町,1,2付近,大雨,店舗浸水,2020年8月23日,2,,千葉県柏市旭町1-2 ,139.96822,35.86326,2020
63,旭町,1,2付近,大雨,店舗浸水,2020年8月23日,2,,千葉県柏市旭町1-2 ,139.96822,35.86326,2020
64,旭町,1,2付近,大雨,店舗浸水,2020年8月23日,2,,千葉県柏市旭町1-2 ,139.96822,35.86326,2020
65,旭町,1,2付近,大雨,店舗浸水,2020年8月23日,2,,千葉県柏市旭町1-2 ,139.96822,35.86326,2020
66,旭町,1,2付近,大雨,道路冠水,2020年8月23日,2,,千葉県柏市旭町1-2 ,139.96822,35.86326,2020
67,旭町,1,2付近,集中豪雨,店舗浸水,2021年6月15日,2,,千葉県柏市旭町1-2 ,139.96822,35.86326,2021
68,旭町,1,2付近,集中豪雨,店舗浸水,2021年6月15日,2,,千葉県柏市旭町1-2 ,139.96822,35.86326,2021
69,旭町,1,2付近,集中豪雨,道路冠水,2021年6月15日,2,,千葉県柏市旭町1-2 ,139.96822,35.86326,2021
70,旭町,1,2付近,集中豪雨,道路冠水,2021年8月23日,2,,千葉県柏市旭町1-2 ,139.96822,35.86326,2021
71,旭町,1,2付近,集中豪雨,店舗浸水,2021年8月23日,2,,千葉県柏市旭町1-2 ,139.96822,35.86326,2021
72,旭町,1,3付近,大雨,店舗浸水,2020年8月23日,3,,千葉県柏市旭町1-3 ,139.9677,35.86251,2020
73,旭町,1,3付近,集中豪雨,店舗浸水,2021年6月15日,3,,千葉県柏市旭町1-3 ,139.9677,35.86251,2021
74,旭町,1,4付近,大雨,店舗浸水,2020年8月23日,4,,千葉県柏市旭町1-4 ,139.96843,35.86283,2020
75,旭町,1,4付近,大雨,店舗浸水,2020年8月23日,4,,千葉県柏市旭町1-4 ,139.96843,35.86283,2020
76,旭町,1,4付近,集中豪雨,店舗浸水,2021年6月15日,4,,千葉県柏市旭町1-4 ,139.96843,35.86283,2021
77,旭町,1,4付近,集中豪雨,店舗浸水,2021年6月15日,4,,千葉県柏市旭町1-4 ,139.96843,35.86283,2021
78,旭町,2,7付近,台風18号,道路冠水,2014年10月6日,7,,千葉県柏市旭町2-7 ,139.96703,35.85912,2014
79,旭町,3,2付近,台風9号,道路冠水,2016年8月22日,2,,千葉県柏市旭町3-2 ,139.96448,35.86141,2016
80,旭町,3,3付近,大雨,店舗浸水,2020年8月23日,3,,千葉県柏市旭町3-3 ,139.96489,35.86261,2020
81,旭町,3,3付近,大雨,店舗浸水,2020年8月23日,3,,千葉県柏市旭町3-3 ,139.96489,35.86261,2020
82,旭町,3,3付近,大雨,店舗浸水,2020年8月23日,3,,千葉県柏市旭町3-3 ,139.96489,35.86261,2020
83,旭町,3,3付近,大雨,店舗浸水,2020年8月23日,3,,千葉県柏市旭町3-3 ,139.96489,35.86261,2020
84,旭町,3,3付近,大雨,店舗浸水,2020年8月23日,3,,千葉県柏市旭町3-3 ,139.96489,35.86261,2020
85,旭町,3,3付近,大雨,店舗浸水,2020年8月23日,3,,千葉県柏市旭町3-3 ,139.96489,35.86261,2020
86,旭町,3,3付近,大雨,店舗浸水,2020年8月23日,3,,千葉県柏市旭町3-3 ,139.96489,35.86261,2020
87,旭町,3,3付近,大雨,店舗浸水,2020年8月23日,3,,千葉県柏市旭町3-3 ,139.96489,35.86261,2020
88,旭町,3,3付近,大雨,店舗浸水,2020年8月23日,3,,千葉県柏市旭町3-3 ,139.96489,35.86261,2020
89,旭町,3,3付近,大雨,店舗浸水,2020年8月23日,3,,千葉県柏市旭町3-3 ,139.96489,35.86261,2020
90,旭町,3,3付近,大雨,店舗浸水,2020年8月23日,3,,千葉県柏市旭町3-3 ,139.96489,35.86261,2020
91,旭町,3,3付近,大雨,店舗浸水,2020年8月23日,3,,千葉県柏市旭町3-3 ,139.96489,35.86261,2020
92,旭町,3,3付近,大雨,道路冠水,2020年8月23日,3,,千葉県柏市旭町3-3 ,139.96489,35.86261,2020
93,旭町,3,3付近,大雨,床上浸水,2020年8月23日,3,,千葉県柏市旭町3-3 ,139.96489,35.86261,2020
94,旭町,3,3付近,大雨,床上浸水,2020年8月23日,3,,千葉県柏市旭町3-3 ,139.96489,35.86261,2020
95,旭町,3,3付近,大雨,床上浸水,2020年8月23日,3,,千葉県柏市旭町3-3 ,139.96489,35.86261,2020
96,旭町,3,3付近,大雨,床上浸水,2020年8月23日,3,,千葉県柏市旭町3-3 ,139.96489,35.86261,2020
97,旭町,3,3付近,大雨,床上浸水,2020年8月23日,3,,千葉県柏市旭町3-3 ,139.96489,35.86261,2020
98,旭町,3,3付近,大雨,床上浸水,2020年8月23日,3,,千葉県柏市旭町3-3 ,139.96489,35.86261,2020
99,旭町,3,3付近,大雨,床下浸水,2020年8月23日,3,,千葉県柏市旭町3-3 ,139.96489,35.86261,2020
100,旭町,3,3付近,大雨,床下浸水,2020年8月23日,3,,千葉県柏市旭町3-3 ,139.96489,35.86261,2020
101,旭町,3,3付近,大雨,床下浸水,2020年8月23日,3,,千葉県柏市旭町3-3 ,139.96489,35.86261,2020
102,旭町,3,3付近,大雨,床下浸水,2020年8月23日,3,,千葉県柏市旭町3-3 ,139.96489,35.86261,2020
103,旭町,4,4付近,台風18号,道路冠水,1991年9月19日,4,,千葉県柏市旭町4-4 ,139.96284,35.85963,1991
104,旭町,4,4付近,大雨,床下浸水,2006年7月14日,4,,千葉県柏市旭町4-4 ,139.96284,35.85963,2006
105,旭町,4,4付近,集中豪雨,道路冠水,2008年8月28日,4,,千葉県柏市旭町4-4 ,139.96284,35.85963,2008
106,旭町,4,8付近,集中豪雨,床下浸水,2008年8月30日,8,,千葉県柏市旭町4-8 ,139.96066,35.85948,2008
107,旭町,4,8付近,大雨,道路冠水,2008年9月21日,8,,千葉県柏市旭町4-8 ,139.96066,35.85948,2008
108,旭町,5,6付近,集中豪雨,道路冠水,2003年10月13日,6,,千葉県柏市旭町5-6 ,139.9608,35.85485,2003
109,旭町,5,6付近,台風22号,床下浸水,2004年10月9日,6,,千葉県柏市旭町5-6 ,139.9608,35.85485,2004
110,旭町,5,6付近,台風22号,床下浸水,2004年10月9日,6,,千葉県柏市旭町5-6 ,139.9608,35.85485,2004
111,旭町,5,6付近,集中豪雨,道路冠水,2008年8月30日,6,,千葉県柏市旭町5-6 ,139.9608,35.85485,2008
112,旭町,5,6付近,集中豪雨,床下浸水,2008年8月30日,6,,千葉県柏市旭町5-6 ,139.9608,35.85485,2008
113,旭町,5,6付近,集中豪雨,床下浸水,2008年8月30日,6,,千葉県柏市旭町5-6 ,139.9608,35.85485,2008
114,旭町,5,6付近,集中豪雨,床下浸水,2008年8月30日,6,,千葉県柏市旭町5-6 ,139.9608,35.85485,2008
115,旭町,5,6付近,集中豪雨,床下浸水,2008年8月30日,6,,千葉県柏市旭町5-6 ,139.9608,35.85485,2008
116,旭町,5,6付近,集中豪雨,床下浸水,2008年8月30日,6,,千葉県柏市旭町5-6 ,139.9608,35.85485,2008
117,旭町,5,6付近,集中豪雨,床下浸水,2008年8月30日,6,,千葉県柏市旭町5-6 ,139.9608,35.85485,2008
118,旭町,5,6付近,集中豪雨,床下浸水,2008年8月30日,6,,千葉県柏市旭町5-6 ,139.9608,35.85485,2008
119,旭町,5,6付近,集中豪雨,床下浸水,2008年8月30日,6,,千葉県柏市旭町5-6 ,139.9608,35.85485,2008
120,旭町,5,6付近,集中豪雨,床下浸水,2008年8月30日,6,,千葉県柏市旭町5-6 ,139.9608,35.85485,2008
121,旭町,5,6付近,集中豪雨,床下浸水,2008年8月30日,6,,千葉県柏市旭町5-6 ,139.9608,35.85485,2008
122,旭町,5,6付近,集中豪雨,床下浸水,2008年8月30日,6,,千葉県柏市旭町5-6 ,139.9608,35.85485,2008
123,旭町,5,6付近,集中豪雨,床下浸水,2008年8月30日,6,,千葉県柏市旭町5-6 ,139.9608,35.85485,2008
124,旭町,8,5付近,集中豪雨,道路冠水,2003年10月14日,5,,千葉県柏市旭町8-5 ,139.95518,35.85988,2003
125,旭町,8,5付近,大雨,道路冠水,2011年8月19日,5,,千葉県柏市旭町8-5 ,139.95518,35.85988,2011
126,東,3,7付近,集中豪雨,道路冠水,2021年6月15日,7,,千葉県柏市東3-7 ,139.9834,35.85356,2021
127,東,3,8付近,台風18号,道路冠水,1991年9月19日,8,,千葉県柏市東3-8 ,139.98279,35.85449,1991
128,東上町,,3付近,大雨,道路冠水,2000年7月2日,3,,千葉県柏市東上町3 ,139.97617,35.85836,2000
129,東上町,,3付近,大雨,床下浸水,2006年7月14日,3,,千葉県柏市東上町3 ,139.97617,35.85836,2006
130,東台本町,,11付近,台風18号,道路冠水,2014年10月6日,11,,千葉県柏市東台本町11 ,139.98296,35.85698,2014
131,東台本町,,12付近,台風11号,道路冠水,2001年8月21日,12,,千葉県柏市東台本町12 ,139.98596,35.85739,2001
132,泉,,1326付近,台風26号,道路冠水,2013年10月16日,1326,,千葉県柏市泉1326 ,140.04938,35.83988,2013
133,泉,,1378付近,大雨,道路冠水,2016年7月15日,1378,,千葉県柏市泉1378 ,140.0504,35.83566,2016
134,泉町,,16付近,大雪警報,店舗浸水,2014年2月14日,16,,千葉県柏市泉町16 ,139.96725,35.85568,2014
135,伊勢原,1,13付近,台風22号,床下浸水,2004年10月9日,13,,千葉県柏市伊勢原1-13 ,139.92987,35.90173,2004
136,今谷上町,,1付近,台風11号,道路冠水,2001年8月21日,1,,千葉県柏市今谷上町1 ,139.95335,35.84101,2001
137,今谷上町,,1付近,集中豪雨,道路冠水,2007年6月10日,1,,千葉県柏市今谷上町1 ,139.95335,35.84101,2007
138,今谷上町,,1付近,集中豪雨,床下浸水,2008年8月30日,1,,千葉県柏市今谷上町1 ,139.95335,35.84101,2008
139,今谷上町,,1付近,集中豪雨,床下浸水,2008年8月30日,1,,千葉県柏市今谷上町1 ,139.95335,35.84101,2008
140,今谷上町,,1付近,集中豪雨,床下浸水,2008年8月30日,1,,千葉県柏市今谷上町1 ,139.95335,35.84101,2008
141,今谷上町,,1付近,集中豪雨,床下浸水,2008年8月30日,1,,千葉県柏市今谷上町1 ,139.95335,35.84101,2008
142,今谷上町,,1付近,台風9号,道路冠水,2010年9月8日,1,,千葉県柏市今谷上町1 ,139.95335,35.84101,2010
143,今谷上町,,7付近,集中豪雨,床下浸水,2008年8月30日,7,,千葉県柏市今谷上町7 ,139.95335,35.84101,2008
144,今谷上町,,7付近,集中豪雨,床下浸水,2008年8月30日,7,,千葉県柏市今谷上町7 ,139.95335,35.84101,2008
145,今谷上町,,32付近,台風3号,道路冠水,2000年7月7日,32,,千葉県柏市今谷上町32 ,139.95721,35.83786,2000
146,今谷上町,,36付近,台風18号,道路冠水,1991年9月19日,36,,千葉県柏市今谷上町36 ,139.95596,35.83765,1991
147,今谷上町,,36付近,台風3号,道路冠水,2000年7月7日,36,,千葉県柏市今谷上町36 ,139.95596,35.83765,2000
148,今谷上町,,36付近,集中豪雨,床下浸水,2008年8月30日,36,,千葉県柏市今谷上町36 ,139.95596,35.83765,2008
149,今谷上町,,36付近,大雨,道路冠水,2011年7月1日,36,,千葉県柏市今谷上町36 ,139.95596,35.83765,2011
150,今谷上町,,36付近,大雨,道路冠水,2011年8月19日,36,,千葉県柏市今谷上町36 ,139.95596,35.83765,2011
151,今谷上町,,36付近,台風１９号,道路冠水,2012年6月19日,36,,千葉県柏市今谷上町36 ,139.95596,35.83765,2012
152,今谷上町,,37付近,台風18号,道路冠水,1991年9月19日,37,,千葉県柏市今谷上町37 ,139.95596,35.83765,1991
153,今谷上町,,37付近,集中豪雨,床下浸水,2003年10月13日,37,,千葉県柏市今谷上町37 ,139.95596,35.83765,2003
154,今谷上町,,37付近,集中豪雨,床下浸水,2008年8月30日,37,,千葉県柏市今谷上町37 ,139.95596,35.83765,2008
155,今谷上町,,37付近,台風9号,道路冠水,2010年9月8日,37,,千葉県柏市今谷上町37 ,139.95596,35.83765,2010
156,今谷上町,,38付近,,道路冠水,1990年9月13日,38,,千葉県柏市今谷上町38 ,139.95613,35.84225,1990
157,今谷上町,,38付近,台風22号,床下浸水,2004年10月9日,38,,千葉県柏市今谷上町38 ,139.95613,35.84225,2004
158,今谷上町,,38付近,大雨,道路冠水,2006年12月26日,38,,千葉県柏市今谷上町38 ,139.95613,35.84225,2006
159,今谷上町,,38付近,集中豪雨,床下浸水,2007年6月10日,38,,千葉県柏市今谷上町38 ,139.95613,35.84225,2007
160,今谷上町,,38付近,集中豪雨,床下浸水,2007年6月10日,38,,千葉県柏市今谷上町38 ,139.95613,35.84225,2007
161,今谷上町,,38付近,集中豪雨,床下浸水,2007年6月10日,38,,千葉県柏市今谷上町38 ,139.95613,35.84225,2007
162,今谷上町,,38付近,集中豪雨,道路冠水,2008年8月30日,38,,千葉県柏市今谷上町38 ,139.95613,35.84225,2008
163,今谷上町,,38付近,集中豪雨,床下浸水,2008年8月30日,38,,千葉県柏市今谷上町38 ,139.95613,35.84225,2008
164,今谷上町,,38付近,集中豪雨,床下浸水,2008年8月30日,38,,千葉県柏市今谷上町38 ,139.95613,35.84225,2008
165,今谷上町,,38付近,集中豪雨,床下浸水,2008年8月30日,38,,千葉県柏市今谷上町38 ,139.95613,35.84225,2008
166,今谷上町,,38付近,集中豪雨,床下浸水,2008年8月30日,38,,千葉県柏市今谷上町38 ,139.95613,35.84225,2008
167,今谷上町,,38付近,集中豪雨,床下浸水,2008年8月30日,38,,千葉県柏市今谷上町38 ,139.95613,35.84225,2008
168,今谷上町,,38付近,集中豪雨,床下浸水,2008年8月30日,38,,千葉県柏市今谷上町38 ,139.95613,35.84225,2008
169,今谷上町,,38付近,集中豪雨,床下浸水,2008年8月30日,38,,千葉県柏市今谷上町38 ,139.95613,35.84225,2008
170,今谷上町,,38付近,大雨,道路冠水,2008年10月24日,38,,千葉県柏市今谷上町38 ,139.95613,35.84225,2008
171,今谷上町,,38付近,台風9号,道路冠水,2010年9月8日,38,,千葉県柏市今谷上町38 ,139.95613,35.84225,2010
172,今谷上町,,38付近,台風26号,道路冠水,2013年10月16日,38,,千葉県柏市今谷上町38 ,139.95613,35.84225,2013
173,今谷上町,,38付近,台風9号,道路冠水,2016年8月22日,38,,千葉県柏市今谷上町38 ,139.95613,35.84225,2016
174,今谷上町,,38付近,大雨,道路冠水,2015年9月7~8日,38,,千葉県柏市今谷上町38 ,139.95613,35.84225,2015
175,今谷上町,,42付近,集中豪雨,床下浸水,2008年8月30日,42,,千葉県柏市今谷上町42 ,139.95613,35.84225,2008
176,今谷上町,,42付近,集中豪雨,床下浸水,2008年8月30日,42,,千葉県柏市今谷上町42 ,139.95613,35.84225,2008
177,今谷上町,,42付近,台風26号,道路冠水,2013年10月16日,42,,千葉県柏市今谷上町42 ,139.95613,35.84225,2013
178,今谷上町,,43付近,大雨,道路冠水,2001年6月7日,43,,千葉県柏市今谷上町43 ,139.95502,35.84158,2001
179,今谷上町,,43付近,雷雨,道路冠水,2007年7月29日,43,,千葉県柏市今谷上町43 ,139.95502,35.84158,2007
180,今谷上町,,43付近,集中豪雨,道路冠水,2008年8月28日,43,,千葉県柏市今谷上町43 ,139.95502,35.84158,2008
181,今谷上町,,43付近,集中豪雨,床下浸水,2008年8月30日,43,,千葉県柏市今谷上町43 ,139.95502,35.84158,2008
182,今谷上町,,43付近,大雨,道路冠水,2017年7月26日,43,,千葉県柏市今谷上町43 ,139.95502,35.84158,2017
183,今谷上町,,45付近,集中豪雨,店舗浸水,2007年6月10日,45,,千葉県柏市今谷上町45 ,139.95502,35.84158,2007
184,今谷上町,,45付近,集中豪雨,道路冠水,2008年8月28日,45,,千葉県柏市今谷上町45 ,139.95502,35.84158,2008
185,今谷上町,,46付近,台風22号,床下浸水,2004年10月9日,46,,千葉県柏市今谷上町46 ,139.95502,35.84158,2004
186,今谷上町,,46付近,集中豪雨,道路冠水,2007年6月10日,46,,千葉県柏市今谷上町46 ,139.95502,35.84158,2007
187,今谷上町,,46付近,集中豪雨,床下浸水,2008年8月30日,46,,千葉県柏市今谷上町46 ,139.95502,35.84158,2008
188,今谷上町,,46付近,大雨,道路冠水,2008年9月21日,46,,千葉県柏市今谷上町46 ,139.95502,35.84158,2008
189,今谷上町,,46付近,大雨・台風9号,道路冠水,2009年8月10日,46,,千葉県柏市今谷上町46 ,139.95502,35.84158,2009
190,今谷上町,,48付近,大雨,道路冠水,2009年6月15日,48,,千葉県柏市今谷上町48 ,139.95502,35.84158,2009
191,今谷上町,,54付近,台風18号,道路冠水,1991年9月19日,54,,千葉県柏市今谷上町54 ,139.95874,35.84068,1991
192,今谷上町,,54付近,集中豪雨,床上浸水,2008年8月30日,54,,千葉県柏市今谷上町54 ,139.95874,35.84068,2008
193,今谷上町,,54付近,集中豪雨,床下浸水,2008年8月30日,54,,千葉県柏市今谷上町54 ,139.95874,35.84068,2008
194,今谷上町,,54付近,集中豪雨,床下浸水,2008年8月30日,54,,千葉県柏市今谷上町54 ,139.95874,35.84068,2008
195,今谷上町,,54付近,集中豪雨,床下浸水,2008年8月30日,54,,千葉県柏市今谷上町54 ,139.95874,35.84068,2008
196,今谷上町,,63付近,,道路冠水,1990年9月13日,63,,千葉県柏市今谷上町63 ,139.95502,35.84158,1990
197,今谷上町,,72付近,集中豪雨,店舗浸水,2008年8月30日,72,,千葉県柏市今谷上町72 ,139.95641,35.84102,2008
198,今谷上町,,86付近,集中豪雨,床下浸水,2008年8月30日,86,,千葉県柏市今谷上町86 ,139.95641,35.84102,2008
199,今谷上町,,37～43付近,台風18号,道路冠水,2009年10月8日,37,,千葉県柏市今谷上町37 ,139.95596,35.83765,2009
200,今谷南町,,3付近,集中豪雨,道路冠水,2008年8月30日,3,,千葉県柏市今谷南町3 ,139.95721,35.83587,2008
201,今谷南町,,3付近,集中豪雨,床下浸水,2008年8月30日,3,,千葉県柏市今谷南町3 ,139.95721,35.83587,2008
202,永楽台,1,1付近,集中豪雨,床上浸水,2003年10月13日,1,,千葉県柏市永楽台1-1 ,139.96654,35.84382,2003
203,永楽台,1,1付近,集中豪雨,店舗浸水,2008年8月30日,1,,千葉県柏市永楽台1-1 ,139.96654,35.84382,2008
204,永楽台,1,2付近,大雨,床下浸水,2002年9月12日,2,,千葉県柏市永楽台1-2 ,139.96677,35.84473,2002
205,永楽台,1,2付近,集中豪雨,床下浸水,2008年8月28日,2,,千葉県柏市永楽台1-2 ,139.96677,35.84473,2008
206,永楽台,1,2付近,集中豪雨,床下浸水,2008年8月28日,2,,千葉県柏市永楽台1-2 ,139.96677,35.84473,2008
207,永楽台,1,2付近,集中豪雨,床上浸水,2008年8月30日,2,,千葉県柏市永楽台1-2 ,139.96677,35.84473,2008
208,永楽台,1,2付近,集中豪雨,床上浸水,2008年8月30日,2,,千葉県柏市永楽台1-2 ,139.96677,35.84473,2008
209,永楽台,1,2付近,集中豪雨,床下浸水,2008年8月30日,2,,千葉県柏市永楽台1-2 ,139.96677,35.84473,2008
210,永楽台,1,2付近,集中豪雨,床下浸水,2008年8月30日,2,,千葉県柏市永楽台1-2 ,139.96677,35.84473,2008
211,永楽台,1,2付近,集中豪雨,床下浸水,2008年8月30日,2,,千葉県柏市永楽台1-2 ,139.96677,35.84473,2008
212,永楽台,1,3付近,大雨,床下浸水,2002年9月12日,3,,千葉県柏市永楽台1-3 ,139.96747,35.8453,2002
213,永楽台,1,3付近,大雨,床下浸水,2002年9月12日,3,,千葉県柏市永楽台1-3 ,139.96747,35.8453,2002
214,永楽台,1,3付近,大雨,床下浸水,2002年9月12日,3,,千葉県柏市永楽台1-3 ,139.96747,35.8453,2002
215,永楽台,1,3付近,大雨,床下浸水,2002年9月12日,3,,千葉県柏市永楽台1-3 ,139.96747,35.8453,2002
216,永楽台,1,3付近,大雨,床下浸水,2002年9月12日,3,,千葉県柏市永楽台1-3 ,139.96747,35.8453,2002
